date,Q,ETpot,P,air_temp_proxy,soil_temperature_5cm
1999-08-10,0.4387723351276217,2.24667,5.2819400000000005,17.647997524703573,20.1835
1999-08-11,0.5150805673237298,1.50511,0.716249,15.65137950847154,17.9424
1999-08-12,0.5667008420446265,1.9339400000000002,0.0,15.08049460117356,17.2815
1999-08-13,0.5319132656022829,2.52211,0.0,16.02091125298467,18.3659
1999-08-14,0.29345003998944524,1.4676799999999999,9.759789999999999,14.249523577738996,16.3054
1999-08-15,0.5010533187582688,2.4995700000000003,4.1482,14.90298554127182,17.0744
1999-08-16,0.4522384937504642,1.51114,6.9428600000000005,14.763048003357175,16.9106
1999-08-17,0.5319132656022829,1.90388,1.9056799999999998,14.49447864663159,16.5949
1999-08-18,0.4213785469064499,1.86106,5.66606,14.128579335588478,16.1619
1999-08-19,0.4870260701928077,2.7516599999999998,0.0,14.173380128880884,16.2151
1999-08-20,0.3882742402919619,2.24015,0.171098,14.481840208517744,16.58
1999-08-21,0.3349706957432098,1.9224700000000001,0.0,14.916334002475564,17.09
1999-08-22,0.3164547276368013,2.20403,0.0,14.74615982956342,16.8908
1999-08-23,0.3029885690139587,2.58474,0.0,15.797957537400569,18.1108
1999-08-24,0.2951333098173005,2.51419,0.0,16.655635280652373,19.0848
1999-08-25,0.2973776695877743,3.2847199999999996,0.051284500000000004,18.84451830294692,21.4551
1999-08-26,0.5044198584139794,1.4215799999999998,13.3082,17.47556092528082,19.9951
1999-08-27,0.4460665043816614,2.19785,3.00352,18.101955400031702,20.6737
1999-08-28,0.34507031471034183,1.50829,0.0,16.705333731629036,19.1406
1999-08-29,0.34114268511201273,2.04054,0.0,16.491243019665642,18.8997
1999-08-30,0.3355317856858283,2.17837,0.0,17.171689189525143,19.6604
1999-08-31,0.3007442092434849,1.85844,0.0,16.594093819049863,19.0156
1999-09-01,0.31252709803847223,1.16639,0.0,14.997959176343974,17.1853
1999-09-02,0.2990609394156296,2.59491,0.0,15.88828053668176,18.2143
1999-09-03,0.2844726009075501,2.6891599999999998,0.0,16.129520491916974,18.4897
1999-09-04,0.2816671511944579,2.63394,0.0,17.609647924668206,20.1417
1999-09-05,0.285594780792787,2.47972,0.0,17.54408032279827,20.0701
1999-09-06,0.3007442092434849,1.78342,3.04806,17.07093078134825,19.5487
1999-09-07,0.3568532035053291,1.9843,0.368508,17.417036559738296,19.9309
1999-09-08,0.3647084627019873,2.26211,0.0,18.051170865669587,20.6193
1999-09-09,0.34002050522677585,2.39825,0.0,18.583350052103018,21.1834
1999-09-10,0.3029885690139587,2.5047099999999998,0.0,18.51736587692704,21.1142
1999-09-11,0.29625548970253746,3.0067,0.0,18.178242272828673,20.7552
1999-09-12,0.29176677016158986,2.66171,0.0,18.678789675675727,21.2831
1999-09-13,0.31477145780894605,2.63542,0.0,19.08642839679639,21.7035
1999-09-14,0.28222824113707634,2.51956,0.0,19.141113965204777,21.7592
1999-09-15,0.29064459027635303,2.57421,0.42376,19.12990797846555,21.7478
1999-09-16,0.3001831193008665,1.8118599999999998,0.0,17.23037743762804,19.7253
1999-09-17,0.27998388136660257,1.63719,0.416365,15.744111365594781,18.049
1999-09-18,0.3102827382679985,1.36112,0.0,16.03475733424219,18.3817
1999-09-19,0.3057940187270509,1.96107,0.0,16.282024396242026,18.663
1999-09-20,0.2900835003337345,1.56503,2.19925,16.35367421139244,18.7442
1999-09-21,0.30859946844014313,1.72928,2.92916,15.443275690463791,17.7024
1999-09-22,0.3142103678663276,1.21776,3.7146800000000004,14.869630437170086,17.0354
1999-09-23,0.3271154365465517,1.6441400000000002,0.523626,15.650684288423426,17.9416
1999-09-24,0.25192938423568045,1.95095,0.0,15.724871100020307,18.0269
1999-09-25,0.23285232618665344,1.09449,5.81574,15.131355512762758,17.3407
1999-09-26,0.30747728855490625,1.18401,3.10465,14.144574589091524,16.1809
1999-09-27,0.2912056802189714,1.34156,0.0729303,13.302306931728141,15.1709
1999-09-28,0.22106943739166607,1.10117,4.32409,12.949350057361878,14.7414
